"Exportadores"	"Valor importada en 2001"	"Valor importada en 2002"	"Valor importada en 2003"	"Valor importada en 2004"	"Valor importada en 2005"	"Valor importada en 2006"	"Valor importada en 2007"	"Valor importada en 2008"	"Valor importada en 2009"	"Valor importada en 2010"	"Valor importada en 2011"	
Mundo	16.435.556	11.673.346	8.357.705	14.697.161	21.848.134	30.559.000		47.450.067	38.676.637	32.342.887	36.387.614	
Estados Unidos de América	5.572.168	3.844.923	2.753.955	4.579.275	6.897.452	7.393.288		12.651.313	10.545.409	9.866.018	10.152.871	
China	335.725	224.788	175.996	424.929	808.427	1.652.369		4.527.517	4.034.462	3.593.328	4.354.909	
Brasil	974.925	755.405	555.430	1.238.357	1.988.683	2.456.601		4.275.502	3.396.426	3.180.489	3.139.667	
Colombia	1.432.268	963.673	712.992	1.563.366	2.409.191	2.420.699		6.903.379	4.417.550	1.424.244	1.521.828	
México	773.795	536.845	416.251	686.351	1.514.754	1.638.316		2.202.931	1.461.097	1.445.568	1.483.384	
España	448.100	319.084	330.997	540.176	504.342	465.763		953.157	794.769	882.735	1.454.564	
Panamá	375.721	192.040	123.082	276.927	847.577	548.022		1.018.396	930.727	737.889	1.372.335	
Argentina	226.740	151.369	141.776	299.455	518.381	505.129		1.152.173	873.907	923.532	1.277.823	
Chile	281.839	189.898	135.186	237.519	338.921	405.305		1.213.313	877.826	555.231	1.243.667	
Alemania	578.931	582.938	347.812	468.189	610.625	702.158		1.420.145	1.258.463	1.212.268	941.674	
Perú	129.467	91.427	71.534	132.943	285.224	293.227		961.299	541.288	527.095	748.020	
Ecuador	157.919	59.230	52.629	116.412	157.428	204.797		557.189	616.798	880.859	745.326	
Italia	549.404	504.915	272.018	418.342	496.096	587.281		1.171.960	1.018.896	755.400	687.850	
Canadá	473.154	320.142	219.621	433.428	363.021	430.055		807.201	539.407	485.032	519.241	
Japón	749.115	435.875	194.536	534.831	712.137	843.894		764.529	624.460	449.550	506.552	
Francia	302.596	221.666	222.033	202.039	274.371	359.961		486.351	423.166	512.811	478.512	
Cuba	13.747	4.687	96.218	103.173	85.426	25.308		37.623	257.569	226.649	398.583	
Reino Unido	344.867	279.273	234.904	482.891	256.015	266.874		397.197	377.808	356.768	377.556	
Bolivia	178.202	163.476	160.761	200.070	12.699	251.570		401.743	351.177	396.411	342.772	
Suiza	145.634	119.799	91.897	126.423	169.375	190.701		307.382	343.286	345.029	320.374	
Países Bajos (Holanda)	168.692	125.218	83.700	123.333	254.681	163.131		362.236	390.243	260.461	305.303	
República de Corea	352.344	226.305	82.609	192.462	372.049	512.274		557.027	320.247	231.648	292.216	
Uruguay	55.869	37.721	17.926	26.904	123.915	55.460		244.543	296.912	320.682	284.536	
Singapur	34.980	13.048	11.230	18.369	28.233	52.506		54.447	51.525	51.450	270.415	
Antillas Holandesas	368.213	259.178	22.362	92.427	154.211	64.283		78.269	787.482	142.233	264.012	
Federación de Rusia	21.016	17.307	19.180	40.338	12.191	65.812		246.993	133.763	113.639	234.382	
Nueva Zelandia	51.000	31.070	55.270	35.445	36.027	35.349		240.538	129.082	120.006	224.821	
Hong Kong (China)	150.956	80.112	31.465	59.132	146.119	196.702		289.150	280.304	235.668	217.059	
Nicaragua	1.025	2.252	655	1.498	1.252	3.157		14.299	33.569	54.257	199.198	
India	49.682	33.035	25.998	48.891	85.279	110.167		195.176	223.061	226.478	197.648	
Bélgica	114.350	105.313	66.661	156.748	254.274	162.320		308.112	192.241	138.408	185.691	
Suecia	77.209	71.524	53.919	53.492	98.009	105.694		217.912	236.743	118.546	124.635	
Taipei Chino	124.136	75.934	54.852	109.826	153.404	145.712		290.858	233.409	194.148	113.123	
Tailandia	20.118	16.665	9.964	22.827	44.442	52.975		127.297	91.433	51.425	105.881	
Austria	29.065	29.136	79.565	27.611	55.976	50.427		61.248	104.523	83.120	103.611	
Indonesia	28.236	22.788	25.322	50.269	66.988	77.755		94.788	84.061	67.864	94.358	
Portugal	22.193	10.776	6.613	9.492	13.946	15.851		52.753	47.884	67.979	92.125	
Irlanda	39.279	28.113	32.899	30.540	42.355	84.010		153.044	101.978	84.514	82.565	
Belarús	1.347	0	0	32	0	0		4.558	109.604	68.134	74.774	
Paraguay	18.955	36.219	64.845	76.938	7.564	57.108		145.239	82.736	78.055	65.124	
Guatemala	0	0	0	0	33.791	17.527		14.493	18.271	22.044	62.085	
Malasia	16.577	10.056	9.376	33.015	29.491	41.533		135.544	96.099	88.151	61.909	
Dinamarca	40.437	38.371	31.784	21.060	22.941	96.095		98.649	71.862	52.031	57.564	
Turquía	13.991	9.452	17.335	13.267	33.086	29.861		53.191	51.425	31.801	52.935	
Costa Rica	23.205	20.249	11.893	15.280	32.908	15.121		33.951	45.506	32.051	49.457	
República Dominicana	7.311	4.323	2.248	3.826	4.418	6.968		22.607	23.673	28.924	47.073	
Finlandia	75.200	36.197	34.511	22.254	29.316	58.245		112.099	70.363	38.623	42.656	
Polonia	9.803	13.510	6.590	24.947	45.970	29.886		98.634	27.205	86.106	28.876	
Islas Vírgenes Británicas	854	2.893	176	190	2.971	1.923		3.321	3.186	24.514	26.287	
Marruecos	3.922	675	1.946	4.727	3.515	7.750		18.251	3.180	19.731	25.948	
Hungría	3.339	3.082	2.015	3.488	2.949	6.753		12.601	13.577	13.464	24.173	
Egipto	976	1.006	515	772	1.382	2.198		5.356	4.425	4.458	22.477	
Tokelau	0	0	0	0	0	0		0	20	8	21.936	
Israel	29.652	15.336	15.982	15.473	44.677	24.213		40.172	40.467	24.795	18.947	
Noruega	22.165	17.571	31.470	15.116	77.207	23.742		33.701	30.552	14.763	18.149	
Sudafrica	17.872	15.060	6.533	14.597	22.751	13.241		34.607	20.430	23.748	17.719	
Eslovaquia	917	380	126	2.261	323	4.392		16.049	6.080	13.913	17.159	
República Popular Democráticade Corea	32	948	0	260	5.700	0		227.092	65.080	42.318	17.069	
Ucrania	10.221	11.276	16.389	16.827	12.505	14.475		19.702	8.825	2.855	14.951	
Viet Nam	4.436	2.517	6.416	5.401	6.725	17.328		44.898	54.787	56.551	12.766	
Australia	7.861	7.842	5.434	9.263	12.518	11.975		35.455	40.008	12.622	12.035	
Emiratos Árabes Unidos	823	836	3.093	4.737	9.315	7.601		5.894	8.337	22.697	11.165	
Guyana	2.524	1.670	754	937	536	6		1.675	913	65	9.985	
Irán (República Islámica del)	185	400	510	352	15.257	37.447		80.864	78.789	17.636	9.940	
República Checa	6.900	4.288	2.940	2.562	2.523	8.904		13.790	4.273	4.146	8.656	
Honduras	615	366	3.088	451	765	547		9.834	1.583	1.985	8.099	
Lituania	455	16	2	4.434	2.168	7.539		46.584	8	4.768	7.870	
Barbados	1.055	1.066	100	86	4.105	550		25.299	34.593	9.140	7.763	
Pakistán	7.184	4.279	1.191	8.614	14.023	10.606		26.888	24.450	10.775	6.410	
Trinidad y Tobago	40.997	141.367	24.530	16.607	29.057	14.243		10.762	9.483	13.978	5.733	
Filipinas	3.477	1.191	1.411	2.079	3.220	5.056		7.875	7.526	2.834	5.711	
Jamaica	3.312	4.803	3.828	17.084	18.550	35.664		37.420	48.491	26.987	5.329	
Arabia Saudita	6.675	626	243	200	1.253	7.268		11.842	28.911	17.513	3.453	
El Salvador	5.975	3.427	3.158	1.988	3.463	4.347		13.697	13.570	17.081	3.347	
República Árabe Siria	1.294	1.094	533	1.577	2.141	1.546		6.015	3.961	7.243	2.964	
Bangladesh	140	278	194	227	301	322		459	796	1.686	2.119	
Rumania	15.598	16.447	1.712	17.600	25.750	6.234		9.200	5.033	3.269	1.995	
Iraq	19	23	0	9	8	1.638		2.452	346	7.087	1.991	
Eslovenia	2.497	980	857	1.852	1.540	1.628		3.834	3.418	1.563	1.941	
Albania	41	17	65	615	795	1.000		722	320	1.621	1.909	
Islandia	234	0	6	0	1.245	0		1.569	667	506	1.907	
Grecia	4.741	1.906	2.528	3.393	7.194	2.990		9.401	3.038	3.496	1.703	
Sri Lanka	112	178	89	166	93	172		783	1.075	1.424	1.601	
Afganistán	12	109	10	141	946	234		1.231	1.029	301	1.587	
Aruba	62.140	39.694	13.230	13.112	21.932	3.839		5.733	5.555	385	1.586	
Malta	229	37	17	3.040	85	13.294		19	13	8	1.565	
Líbano	376	181	325	333	377	14.490		1.230	2.140	2.619	1.559	
Nigeria	155.034	5.876	1.211	631	316	496		114	40	497	1.527	
Pitcairn	0	9	0	0	5	0		930	224	122	1.512	
Brunei Darussalam	0	3	0	0	0	4		47	32	67	1.415	
Luxemburgo	630	1.236	1.784	136	27	160		4.023	2.719	721	1.380	
Santa Helena	0	0	21	0	2	0		1.005	315	2.435	1.258	
Letonia	0	0	0	0	5.206	0		0	127	6.864	1.095	
Kuwait	19	13	4	55	481	180		99	24	85	1.028	
Jordania	179	15	0	479	118	108		1.187	682	332	948	
Mauricio	0	0	0	6	0	86		476	698	72	937	
Sudán	34	0	762	458	1.705	48		386	584	448	806	
Suriname	660	287	185	21	0	27		10	3.084	0	780	
Túnez	287	150	249	211	137	269		331	435	396	605	
Belice	293	794	351	270	3.157	0		393	59	460	578	
Santa Lucía	12	93	32	4	165	181		243	298	216	377	
Estonia	698	579	289	5.763	4.076	1.972		60.226	595	7.057	375	
Georgia	221	0	0	0	0	0		1.548	47	2.765	349	
Chipre	726	5.075	0	3.245	1	7.641		283	235	2.322	336	
Bulgaria	2.105	984	1.960	2.613	963	1.795		24.827	3.343	2.122	315	
Zimbabwe	13	0	0	4	0	14		53	0	49	274	
Antigua y Barbuda	1.404	0	84	72	740	21.557		304	15	168	203	
Montserrat	0	0	2	0	0	0		5	5	2	200	
Nueva Caledonia	0	0	0	0	44	0		33	92	1	199	
Etiopía	0	20	0	0	0	0		12	5	128	197	
República Centroafricana	0	0	0	0	55	0		177	0	69	147	
Micronesia (Estados Federados de)	0	0	0	0	0	0		43	146	210	146	
Estados Unidos Minor periferico Islas	0	0	0	0	1.192	2		370	2.800	210	129	
Senegal	26	0	0	277	0	0		14	3	12	106	
Islas Cocos (Keeling)	0	0	0	0	0	0		0	0	0	104	
Haití	17	3	0	45	87	6		200	51	82	104	
Camerún	2.642	346	211	790	130	11		17	155	874	90	
Islas Caimanes	54	21	4.230	211	35	0		0	0	142	87	
Malí	989	159	0	0	184	22		11	0	0	84	
Liberia	354	0	6.626	10.946	211	15.000		1.621	43.000	0	70	
Namibia	0	0	21	20	13	186		25	46	36	68	
Angola	24	130	22	0	21	4		631	52	121	53	
Islas Salomon	0	0	0	0	0	0		9	135	0	53	
Dominica	143	65	58	700	52	87		158	575	329	49	
Bahamas	83	0	588	40.231	376	78.737		516	794	1.201	48	
Qatar	0	2	1	52	3	189		44	70	13	47	
Islas Turks y Caicos	38	616	0	4	0	0		1	24	14	45	
Mozambique	1	0	0	0	0	0		763	54	9	45	
Armenia	22	128	3	225	0	0		204	1	0	41	
Bahrein	1	1	0	0	0	0		0	2.284	16	39	
Andorra	0	9	99	71	2.639	4.359		0	3	0	33	
San Vicente y las Granadinas	1.097	0	0	0	40	0		287	0	0	32	
Omán	171	336	5	394	28	0		157	112	186	24	
Croacia	171	170	304	45	145	148		596	70	46	23	
Cabo Verde	0	0	0	0	15	0		0	0	242	22	
Mauritania	0	0	0	0	0	0		38	0	0	20	
Gabón	0	0	0	5	0	1.711		239	21	57	17	
Uzbekistán	0	867	0	109	0	0		0	7	11	17	
Camboya	9	17	0	0	1	50		145	73	447	17	
Serbia	0	0	0	0	0	59		2	51	13	17	
la ex República Yugoslavade Macedonia	0	0	3	119	1	2		0	0	60	16	
Níger	0	0	0	0	13	5		12	33	3	13	
Islas Feroe	0	0	0	0	0	0		3	1	5	9	
Congo	155	0	0	4.500	7	0		11	28	0	9	
Madagascar	85	1	27	36	48	71		0	50	2	9	
Papua Nueva Guinea	0	9	0	0	0	0		0	0	6	8	
República Democrática del Congo	0	4	0	0	0	6		0	0	11	6	
Islas (Malvinas) Falkland	0	0	0	0	0	0		0	14	0	5	
Gibraltar	0	66	0	0	0	0		1	3	71	5	
Benin	423	296	488	6	0	0		0	23	0	4	
Sierra Leona	0	183	0	0	0	8		260	87	7.650	3	
Kenya	849	511	21	416	111	193		21	26	3	3	
Seychelles	0	0	0	0	4	0		203	0	7	2	
Palestina	0	0	0	0	0	0		156	3	499	1	
Somalia	0	0	17	0	0	0		0	0	0	1	
Comoras	0	0	0	0	0	0		4	6	0	1	
Kazajstán	0	0	10	3	16	0		252	13	16	1	
Chad	0	0	0	0	4	0		75	0	2	0	
Guinea Ecuatorial	0	0	20	0	2	0		0	0	6	0	
Tierras Australes Francesas	0	0	0	0	0	0		2	1	0	0	
República Democrática Popular Lao	0	0	0	0	0	0		30	111	140	0	
Libia	2.210	2.130	11	0	0	0		10	0	27	0	
Nauru	0	0	0	0	0	0		24	33	0	0	
Vanuatu	0	0	0	0	0	0		0	0	3	0	
Niué	0	0	0	0	0	0		2	0	0	0	
Isla Norfolk	0	0	0	0	0	25		68	0	0	0	
Palau	0	0	6	0	0	0		0	0	0	0	
Anguila	0	0	0	5	0	0		13	0	0	0	
Sahara occidental	0	0	0	0	12	0		33	1	34	0	
Suazilandia	0	7	0	0	80	0		0	0	0	0	
Tayikistán	0	11	0	0	0	0		0	0	1	0	
Turkmenistán	0	0	0	0	0	0		0	0	108	0	
Serbia y Montenegro	99	117	0	28	394	0		0	0	0	0	
Zona Nep	19.598	13.837	9.088	21.514	10	6.158.648		0	90	0	0	
