"pais","year","imports"
"Mundo",2001,16435556
"Estados Unidos de América",2001,5572168
"China",2001,335725
"Brasil",2001,974925
"Colombia",2001,1432268
"México",2001,773795
"España",2001,448100
"Panamá",2001,375721
"Argentina",2001,226740
"Chile",2001,281839
"Alemania",2001,578931
"Perú",2001,129467
"Ecuador",2001,157919
"Italia",2001,549404
"Canadá",2001,473154
"Japón",2001,749115
"Francia",2001,302596
"Cuba",2001,13747
"Reino Unido",2001,344867
"Bolivia",2001,178202
"Suiza",2001,145634
"Países Bajos (Holanda)",2001,168692
"República de Corea",2001,352344
"Uruguay",2001,55869
"Singapur",2001,34980
"Antillas Holandesas",2001,368213
"Federación de Rusia",2001,21016
"Nueva Zelandia",2001,51000
"Hong Kong (China)",2001,150956
"Nicaragua",2001,1025
"India",2001,49682
"Bélgica",2001,114350
"Suecia",2001,77209
"Taipei Chino",2001,124136
"Tailandia",2001,20118
"Austria",2001,29065
"Indonesia",2001,28236
"Portugal",2001,22193
"Irlanda",2001,39279
"Belarús",2001,1347
"Paraguay",2001,18955
"Guatemala",2001,0
"Malasia",2001,16577
"Dinamarca",2001,40437
"Turquía",2001,13991
"Costa Rica",2001,23205
"República Dominicana",2001,7311
"Finlandia",2001,75200
"Polonia",2001,9803
"Islas Vírgenes Británicas",2001,854
"Marruecos",2001,3922
"Hungría",2001,3339
"Egipto",2001,976
"Tokelau",2001,0
"Israel",2001,29652
"Noruega",2001,22165
"Sudafrica",2001,17872
"Eslovaquia",2001,917
"República Popular Democráticade Corea",2001,32
"Ucrania",2001,10221
"Viet Nam",2001,4436
"Australia",2001,7861
"Emiratos Árabes Unidos",2001,823
"Guyana",2001,2524
"Irán (República Islámica del)",2001,185
"República Checa",2001,6900
"Honduras",2001,615
"Lituania",2001,455
"Barbados",2001,1055
"Pakistán",2001,7184
"Trinidad y Tobago",2001,40997
"Filipinas",2001,3477
"Jamaica",2001,3312
"Arabia Saudita",2001,6675
"El Salvador",2001,5975
"República Árabe Siria",2001,1294
"Bangladesh",2001,140
"Rumania",2001,15598
"Iraq",2001,19
"Eslovenia",2001,2497
"Albania",2001,41
"Islandia",2001,234
"Grecia",2001,4741
"Sri Lanka",2001,112
"Afganistán",2001,12
"Aruba",2001,62140
"Malta",2001,229
"Líbano",2001,376
"Nigeria",2001,155034
"Pitcairn",2001,0
"Brunei Darussalam",2001,0
"Luxemburgo",2001,630
"Santa Helena",2001,0
"Letonia",2001,0
"Kuwait",2001,19
"Jordania",2001,179
"Mauricio",2001,0
"Sudán",2001,34
"Suriname",2001,660
"Túnez",2001,287
"Belice",2001,293
"Santa Lucía",2001,12
"Estonia",2001,698
"Georgia",2001,221
"Chipre",2001,726
"Bulgaria",2001,2105
"Zimbabwe",2001,13
"Antigua y Barbuda",2001,1404
"Montserrat",2001,0
"Nueva Caledonia",2001,0
"Etiopía",2001,0
"República Centroafricana",2001,0
"Micronesia (Estados Federados de)",2001,0
"Estados Unidos Minor periferico Islas",2001,0
"Senegal",2001,26
"Islas Cocos (Keeling)",2001,0
"Haití",2001,17
"Camerún",2001,2642
"Islas Caimanes",2001,54
"Malí",2001,989
"Liberia",2001,354
"Namibia",2001,0
"Angola",2001,24
"Islas Salomon",2001,0
"Dominica",2001,143
"Bahamas",2001,83
"Qatar",2001,0
"Islas Turks y Caicos",2001,38
"Mozambique",2001,1
"Armenia",2001,22
"Bahrein",2001,1
"Andorra",2001,0
"San Vicente y las Granadinas",2001,1097
"Omán",2001,171
"Croacia",2001,171
"Cabo Verde",2001,0
"Mauritania",2001,0
"Gabón",2001,0
"Uzbekistán",2001,0
"Camboya",2001,9
"Serbia",2001,0
"la ex República Yugoslavade Macedonia",2001,0
"Níger",2001,0
"Islas Feroe",2001,0
"Congo",2001,155
"Madagascar",2001,85
"Papua Nueva Guinea",2001,0
"República Democrática del Congo",2001,0
"Islas (Malvinas) Falkland",2001,0
"Gibraltar",2001,0
"Benin",2001,423
"Sierra Leona",2001,0
"Kenya",2001,849
"Seychelles",2001,0
"Palestina",2001,0
"Somalia",2001,0
